schoolid,schoolname,CalendarYear,NumApps,NumFTApps,NumPTApps,NumOffers,NumFTOffers,NumPTOffers,NumMatriculants,NumFTMatriculants,NumPTMatriculants,OtherFirstYear,TotalFirstYear,FTFirstYear,PTFirstYear,UGGPA75,FTUGGPA75,PTUGGPA75,UGGPA50,FTUGGPA50,PTUGGPA50,UGGPA25,FTUGGPA25,PTUGGPA25,UGGPAExcl,FTUGGPAExcl,PTUGGPAExcl,LSAT75,FTLSAT75,PTLSAT75,LSAT50,FTLSAT50,PTLSAT50,LSAT25,FTLSAT25,PTLSAT25,LSATExcl,FTLSATExcl,PTLSATExcl,GMATEnrolled,ACTEnrolled,GREEnrolled,GREFTEnrollees,GREPTEnrollees,SATEnrolled,GMAT75,GMAT50,GMAT25,ACT75,ACT50,ACT25,GREVerbal75,GREVerbal50,GREVerbal25,GREQuant75,GREQuant50,GREQuant25,GREAnalytical75,GREAnalytical50,GREAnalytical25,SAT75,SAT50,SAT25,FTGREAnalytical25,FTGREAnalytical50,FTGREAnalytical75,FTGREQuant25,FTGREQuant50,FTGREQuant75,FTGREVerbal25,FTGREVerbal50,FTGREVerbal75,PTGREAnalytical25,PTGREAnalytical50,PTGREAnalytical75,PTGREQuant25,PTGREQuant50,PTGREQuant75,PTGREVerbal25,PTGREVerbal50,PTGREVerbal75
00100300,Faulkner University,2023,424,,,247,,,118,,,1,119,119,0,3.57,3.57,,3.21,3.21,,2.77,2.77,,2,2,,152,152,,150,150,,148,148,,6,6,,,,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00103600,Samford University,2023,697,,,388,,,148,,,4,152,152,0,3.79,3.79,,3.61,3.61,,3.37,3.37,,1,1,,157,157,,155,155,,152,152,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00105100,University of Alabama,2023,1634,,,435,,,124,,,2,126,126,0,4,4,,3.95,3.95,,3.63,3.63,,2,2,,168,168,,167,167,,159,159,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108100,Arizona State University,2023,4178,,,889,,,195,,,4,199,199,0,3.97,3.97,,3.9,3.9,,3.47,3.47,,5,5,,169,169,,167,167,,157,157,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00108300,University of Arizona,2023,1605,,,471,,,118,,,1,119,119,0,3.88,3.88,,3.79,3.79,,3.58,3.58,,0,0,,164,164,,163,163,,159,159,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00110101,University of Arkansas-Little Rock,2023,556,,,329,,,122,,,4,126,100,26,3.68,3.71,3.43,3.39,3.42,3.23,3.15,3.18,2.97,0,0,0,155,155,154,152,152,151,149,149,148,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00110800,University of Arkansas-Fayetteville,2023,787,,,335,,,128,,,2,130,130,0,3.85,3.85,,3.71,3.71,,3.45,3.45,,2,2,,159,159,,156,156,,153,153,,0,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00116453,Chapman University,2023,1848,,,567,,,139,,,2,141,141,,3.77,3.77,,3.67,3.67,,3.3,3.3,,3,3,0,162,162,,161,161,,153,153,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00120529,Golden Gate University,2023,1021,,,229,,,25,,,0,25,12,13,3.46,3.47,3.37,3.28,3.09,3.28,3.02,3.01,3.13,0,0,0,155,156,154,153,154,152,150,149,151,1,1,0,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00129500,Southwestern Law School,2023,2018,,,1006,,,345,,,6,351,304,47,3.63,3.64,3.55,3.44,3.46,3.33,3.17,3.18,3.05,3,3,0,158,158,157,155,155,154,152,152,151,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
