schoolid,schoolname,DbtReportYr,DbtGradYear,AvgDebtGrad,BorrowRateGrad
00100300,Faulkner University,2024,2023,125900,83.8
00103600,Samford University,2024,2023,125701,76.8
00105100,University of Alabama,2024,2023,59864,30.9
00108100,Arizona State University,2024,2023,104909,69.9
00108300,University of Arizona,2024,2023,71055,53.2
00110101,University of Arkansas-Little Rock,2024,2023,86381,66.7
00110800,University of Arkansas-Fayetteville,2024,2023,70339,53.1
00116453,Chapman University,2024,2023,163392,65.3
00120529,Golden Gate University,2024,2023,,
00129500,Southwestern Law School,2024,2023,,
00130503,Stanford University,2024,2023,,
00131273,University of California-Berkeley,2024,2023,,
00131373,University of California-Davis,2024,2023,,
00131400,University of California-Irvine,2024,2023,,
00131500,University of California-Los Angeles,2024,2023,,
00132500,University of San Francisco,2024,2023,,
00132600,Santa Clara University,2024,2023,,
00132800,University of Southern California,2024,2023,132407,67.2
00132901,McGeorge School of Law,2024,2023,149517,80.2
00137000,University of Colorado,2024,2023,102950,66.7
00137100,University of Denver,2024,2023,141571,73.3
00140201,Quinnipiac University,2024,2023,,
00141706,University of Connecticut,2024,2023,82558,64.3
00142600,Yale University,2024,2023,,
00143401,American University,2024,2023,,
00143711,Catholic University of America,2024,2023,129842,66.1
00144102,District of Columbia,2024,2023,110463,70.8
00144402,George Washington University,2024,2023,,
00144503,Georgetown University,2024,2023,,
00144802,Howard University,2024,2023,,
00146601,Barry University,2024,2023,,
00146800,St. Thomas University (Florida),2024,2023,162313,83.3
00148001,Florida A&M University,2024,2023,,
00148900,Florida State University,2024,2023,71778,72.9
00150900,Nova Southeastern University,2024,2023,181527,82.9
00153101,Stetson University,2024,2023,136614,76
00153505,University of Florida,2024,2023,76948,59.7
00153601,University of Miami,2024,2023,160504,60.2
00156400,Emory University,2024,2023,126239,67.6
00157400,Georgia State University,2024,2023,80202,70.3
00158015,Mercer University,2024,2023,110536,83.6
00159800,University of Georgia,2024,2023,69692,68.8
00161000,University of Hawaii,2024,2023,87946,70.7
00162600,University of Idaho,2024,2023,,
00167100,Depaul University,2024,2023,109120,77.1
00169101,Chicago-Kent College of Law-IIT,2024,2023,103163,67.8
00171000,Loyola University-Chicago,2024,2023,104457,68.4
00173700,Northern Illinois University,2024,2023,76220,82.4
00173900,Northwestern University,2024,2023,,
00175800,Southern Illinois University-Carbondale,2024,2023,53189,73.3
00177400,University of Chicago,2024,2023,183176,69
00177500,University of Illinois,2024,2023,74605,63.2
00177608,University of Illinois Chicago School of Law,2024,2023,131798,75.9
