schoolid,schoolname,CalendarYear,TotalJDDeg,HispanicJDDeg,AmIndianJDDeg,AsianJDDeg,BlackJDDeg,NatHawJDDeg,TwoorMoreJDDeg,MinorityJDDeg,WhiteJDDeg,NonresalienJDDeg,UnknownJDDeg
00100300,Faulkner University,2023,37,1,1,0,4,0,0,6,31,0,0
00103600,Samford University,2023,137,5,1,0,12,0,0,18,117,0,2
00105100,University of Alabama,2023,123,10,0,1,9,0,3,23,96,0,4
00108100,Arizona State University,2023,259,42,5,11,3,1,20,82,165,4,8
00108300,University of Arizona,2023,111,17,2,5,2,0,3,29,71,11,0
00110101,University of Arkansas-Little Rock,2023,126,11,0,1,10,0,3,25,97,3,1
00110800,University of Arkansas-Fayetteville,2023,147,10,7,3,8,0,9,37,109,0,1
00116453,Chapman University,2023,144,21,0,31,2,0,9,63,69,4,8
00120529,Golden Gate University,2023,105,34,1,13,9,1,3,61,37,1,6
00129500,Southwestern Law School,2023,266,75,0,28,8,1,15,127,127,9,3
00130503,Stanford University,2023,180,34,0,18,17,0,10,79,96,4,1
00131273,University of California-Berkeley,2023,336,45,2,59,22,0,35,163,149,12,12
00131373,University of California-Davis,2023,178,31,0,39,3,0,14,87,79,10,2
00131400,University of California-Irvine,2023,130,22,0,25,6,0,12,65,59,4,2
00131500,University of California-Los Angeles,2023,320,46,1,35,17,0,25,124,175,6,15
00132500,University of San Francisco,2023,90,25,0,17,4,1,5,52,36,2,0
00132600,Santa Clara University,2023,226,52,1,43,5,1,14,116,94,10,6
00132800,University of Southern California,2023,183,21,1,36,17,0,14,89,84,2,8
00132901,McGeorge School of Law,2023,167,41,1,24,5,0,8,79,83,0,5
00137000,University of Colorado,2023,171,34,3,3,5,0,11,56,108,1,6
00137100,University of Denver,2023,262,29,2,8,7,2,19,67,189,0,6
00140201,Quinnipiac University,2023,123,13,0,1,5,0,2,21,101,0,1
00141706,University of Connecticut,2023,157,15,1,11,6,0,0,33,118,4,2
00142600,Yale University,2023,227,35,2,32,17,1,19,106,117,4,0
00143401,American University,2023,313,52,1,21,20,0,21,115,186,6,6
00143711,Catholic University of America,2023,109,9,0,7,3,0,2,21,81,2,5
00144102,District of Columbia,2023,48,11,0,1,24,0,0,36,10,0,2
