schoolid,schoolname,CalendarYear,AcademicYear,FacTotal,FacMen,FacWomen,FacAGI,FacPNR,FacMinority,FTFacTotal,FTFacMen,FTFacWomen,FTFacAGI,FTFacPNR,FTFacMinority,NonFTFacTotal,NonFTFacMen,NonFTFacWomen,NonFTFacAGI,NonFTFacPNR,NonFTFacMinority,TotalLibrarian,FTLibrarian,PTLibrarian,TotalAdmin,FTAdmin,PTAdmin
00100300,Faulkner University,2023,2022,34,24,10,0,0,4,19,14,5,0,0,3,15,10,5,0,0,1,5,4,1,,,
00103600,Samford University,2023,2022,82,49,33,0,0,12,20,12,8,0,0,4,62,37,25,0,0,8,11,11,0,,,
00105100,University of Alabama,2023,2022,97,62,35,0,0,18,42,23,19,0,0,9,55,39,16,0,0,9,9,8,1,,,
00108100,Arizona State University,2023,2022,233,156,77,0,0,40,72,41,31,0,0,16,161,115,46,0,0,24,8,6,2,,,
00108300,University of Arizona,2023,2022,169,90,79,0,0,47,67,29,38,0,0,25,102,61,41,0,0,22,10,9,1,,,
00110101,University of Arkansas-Little Rock,2023,2022,104,58,46,0,0,16,31,14,17,0,0,6,73,44,29,0,0,10,5,5,0,,,
00110800,University of Arkansas-Fayetteville,2023,2022,72,35,37,0,0,9,27,10,17,0,0,5,45,25,20,0,0,4,6,6,0,,,
00116453,Chapman University,2023,2022,108,61,47,0,0,20,38,21,17,0,0,7,70,40,30,0,0,13,3,3,0,,,
00120529,Golden Gate University,2023,2022,91,42,49,0,0,20,33,14,19,0,0,9,58,28,30,0,0,11,3,3,0,,,
00129500,Southwestern Law School,2023,2022,180,93,86,1,0,53,69,30,39,0,0,20,111,63,47,1,0,33,8,8,0,,,
00130503,Stanford University,2023,2022,192,101,91,0,0,38,101,56,45,0,0,22,91,45,46,0,0,16,16,16,0,,,
00131273,University of California-Berkeley,2023,2022,338,175,163,0,0,78,109,54,55,0,0,27,229,121,108,0,0,51,12,12,0,,,
00131373,University of California-Davis,2023,2022,102,56,46,0,0,33,44,25,19,0,0,17,58,31,27,0,0,16,5,5,0,,,
00131400,University of California-Irvine,2023,2022,133,63,62,1,7,42,54,26,26,1,1,14,79,37,36,0,6,28,10,9,1,,,
00131500,University of California-Los Angeles,2023,2022,255,144,105,0,6,70,147,79,68,0,0,42,108,65,37,0,6,28,22,21,1,,,
00132500,University of San Francisco,2023,2022,75,36,39,0,0,23,42,17,25,0,0,15,33,19,14,0,0,8,4,4,0,,,
00132600,Santa Clara University,2023,2022,152,67,84,0,1,35,56,30,26,0,0,15,96,37,58,0,1,20,5,4,1,,,
00132800,University of Southern California,2023,2022,186,113,72,1,0,43,59,28,31,0,0,18,127,85,41,1,0,25,7,7,0,,,
00132901,McGeorge School of Law,2023,2022,112,60,52,0,0,29,37,24,13,0,0,8,75,36,39,0,0,21,3,3,0,,,
00137000,University of Colorado,2023,2022,122,67,53,0,2,15,63,30,33,0,0,11,59,37,20,0,2,4,8,8,0,,,
00137100,University of Denver,2023,2022,164,90,74,0,0,21,70,30,40,0,0,14,94,60,34,0,0,7,9,7,2,,,
00140201,Quinnipiac University,2023,2022,138,78,60,0,0,17,31,16,15,0,0,5,107,62,45,0,0,12,5,3,2,,,
00141706,University of Connecticut,2023,2022,162,93,69,0,0,25,52,24,28,0,0,10,110,69,41,0,0,15,11,11,0,,,
00142600,Yale University,2023,2022,263,164,98,1,0,39,83,50,33,0,0,20,180,114,65,1,0,19,20,20,0,,,
00143401,American University,2023,2022,293,152,141,0,0,78,82,33,49,0,0,27,211,119,92,0,0,51,7,7,0,,,
00143711,Catholic University of America,2023,2022,113,70,43,0,0,16,36,17,19,0,0,6,77,53,24,0,0,10,9,8,1,,,
00144102,District of Columbia,2023,2022,56,26,30,0,0,31,25,10,15,0,0,16,31,16,15,0,0,15,3,3,0,,,
00144402,George Washington University,2023,2022,594,322,152,0,0,220,97,51,46,0,0,24,377,271,106,0,0,196,15,15,0,,,
00144503,Georgetown University,2023,2022,816,497,319,0,0,160,234,121,113,0,0,56,582,376,206,0,0,104,22,22,0,,,
00144802,Howard University,2023,2022,110,57,53,0,0,86,37,18,19,0,0,31,73,39,34,0,0,55,4,4,0,,,
00146601,Barry University,2023,2022,67,33,34,0,0,27,31,12,19,0,0,13,36,21,15,0,0,14,8,8,0,,,
00146800,St. Thomas University (Florida),2023,2022,118,75,43,0,0,38,45,27,18,0,0,10,73,48,25,0,0,28,3,3,0,,,
00148001,Florida A&M University,2023,2022,51,26,25,0,0,36,35,15,20,0,0,26,16,11,5,0,0,10,6,6,0,,,
00148900,Florida State University,2023,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,,,
00150900,Nova Southeastern University,2023,2022,88,44,44,0,0,30,41,22,19,0,0,15,47,22,25,0,0,15,7,7,0,,,
00153101,Stetson University,2023,2022,181,93,86,0,2,24,50,24,26,0,0,9,131,69,60,0,2,15,7,6,1,,,
00153505,University of Florida,2023,2022,259,160,99,0,0,59,85,35,50,0,0,20,174,125,49,0,0,39,8,8,0,,,
00153601,University of Miami,2023,2022,382,252,130,0,0,94,88,42,46,0,0,23,294,210,84,0,0,71,11,7,4,,,
00156400,Emory University,2023,2022,198,106,92,0,0,39,56,30,26,0,0,8,142,76,66,0,0,31,10,10,0,,,
00157400,Georgia State University,2023,2022,155,76,79,0,0,31,71,27,44,0,0,18,84,49,35,0,0,13,8,8,0,,,
00158015,Mercer University,2023,2022,73,44,29,0,0,8,26,13,13,0,0,5,47,31,16,0,0,3,3,3,0,,,
00159800,University of Georgia,2023,2022,125,73,52,0,0,18,66,31,35,0,0,10,59,42,17,0,0,8,10,10,0,,,
00161000,University of Hawaii,2023,2022,108,62,46,0,0,52,44,24,20,0,0,22,64,38,26,0,0,30,6,6,0,,,
00162600,University of Idaho,2023,2022,94,54,40,0,0,0,39,20,19,0,0,0,55,34,21,0,0,0,4,4,0,,,
00167100,Depaul University,2023,2022,140,71,63,0,6,36,38,22,15,0,1,9,102,49,48,0,5,27,4,4,0,,,
00169101,Chicago-Kent College of Law-IIT,2023,2022,147,98,49,0,0,23,53,28,25,0,0,9,94,70,24,0,0,14,5,5,0,,,
00171000,Loyola University-Chicago,2023,2022,270,121,149,0,0,66,67,25,42,0,0,17,203,96,107,0,0,49,4,3,1,,,
00173700,Northern Illinois University,2023,2022,59,34,25,0,0,18,33,15,18,0,0,9,26,19,7,0,0,9,4,4,0,,,
00173900,Northwestern University,2023,2022,261,157,104,0,0,47,135,71,64,0,0,23,126,86,40,0,0,24,11,11,0,,,
00175800,Southern Illinois University-Carbondale,2023,2022,44,20,24,0,0,8,24,9,15,0,0,4,20,11,9,0,0,4,2,2,0,,,
00177400,University of Chicago,2023,2022,216,146,69,0,1,35,82,50,32,0,0,15,134,96,37,0,1,20,7,7,0,,,
00177500,University of Illinois,2023,2022,137,78,59,0,0,25,57,28,29,0,0,11,80,50,30,0,0,14,6,6,0,,,
00177608,University of Illinois Chicago School of Law,2023,2022,188,99,89,0,0,54,48,24,24,0,0,18,140,75,65,0,0,36,6,5,1,,,
00180900,Indiana University - Bloomington,2023,2022,125,74,51,0,0,18,63,39,24,0,0,10,62,35,27,0,0,8,9,9,0,,,
00181300,Indiana University - Indianapolis,2023,2022,181,90,91,0,0,23,42,22,20,0,0,4,139,68,71,0,0,19,5,5,0,,,
00184000,University of Notre Dame,2023,2022,134,100,33,0,1,13,55,38,16,0,1,10,79,62,17,0,0,3,8,8,0,,,
00186000,Drake University,2023,2022,88,42,46,0,0,11,34,18,16,0,0,4,54,24,30,0,0,7,4,4,0,,,
