schoolid,schoolname,CalendarYear,AcademicYear,CondScholInd,NumEnteringCondSchol,NumEliminatedCondSchol,NumStudents,FTNumStudents,PTNumStudents,TotalRecvGrant,TotalRecvGrantP,FTRecvGrant,PTRecvGrant,TotalGrantLTHalf,TotalGrantLTHalfP,FTGrantLTHalf,PTGrantLTHalf,TotalGrantALHalf,TotalGrantALHalfP,FTGrantALHalf,PTGrantALHalf,TotalGrantFull,TotalGrantFullP,FTGrantFull,PTGrantFull,TotalGrantGTFull,TotalGrantGTFullP,FTGrantGTFull,PTGrantGTFull,FTGrantAmt75,PTGrantAmt75,FTGrantAmtMedian,PTGrantAmtMedian,FTGrantAmt25,PTGrantAmt25
00100300,Faulkner University,2023,2022,N,,,259,259,0,317,122.4,317,,212,81.9,212,,87,33.6,87,,18,6.9,18,,0,0,0,,29250,,15600,,5400,
00103600,Samford University,2023,2022,Y,144,16,443,443,0,403,91,403,,263,59.4,263,,139,31.4,139,,1,0.2,1,,0,0,0,,26000,,16000,,7000,
00105100,University of Alabama,2023,2022,N,,,425,425,0,387,91.1,387,,113,26.6,113,,163,38.4,163,,20,4.7,20,,91,21.4,91,,29080,,22000,,12250,
00108100,Arizona State University,2023,2022,N,,,853,853,0,786,92.1,786,,378,44.3,378,,304,35.6,304,,81,9.5,81,,23,2.7,23,,30163,,20000,,6000,
00108300,University of Arizona,2023,2022,N,,,370,370,0,361,97.6,361,,43,11.6,43,,89,24.1,89,,40,10.8,40,,189,51.1,189,,29600,,24500,,14250,
00110101,University of Arkansas-Little Rock,2023,2022,Y,74,34,449,338,111,278,61.9,223,55,151,33.6,113,38,119,26.5,102,17,0,0,0,0,8,1.8,8,0,13310,6676,6676,4451,3338,2225
00110800,University of Arkansas-Fayetteville,2023,2022,N,,,369,369,0,283,76.7,283,,146,39.6,146,,128,34.7,128,,0,0,0,,9,2.4,9,,12000,,9000,,5000,
00116453,Chapman University,2023,2022,Y,110,49,433,433,0,184,42.5,184,,30,6.9,30,,112,25.9,112,,0,0,0,,42,9.7,42,,64500,,56360,,36050,
00120529,Golden Gate University,2023,2022,Y,9,5,298,196,102,216,72.5,144,72,91,30.5,60,31,19,6.4,12,7,106,35.6,72,34,0,0,0,0,56000,51000,35000,31500,8000,15000
00129500,Southwestern Law School,2023,2022,Y,194,100,922,718,204,657,71.3,516,141,354,38.4,272,82,273,29.6,224,49,17,1.8,14,3,13,1.4,6,7,39828,25525,27771,14186,16374,2500
00130503,Stanford University,2023,2022,N,,,575,575,0,337,58.6,337,,163,28.3,163,,121,21,121,,1,0.2,1,,52,9,52,,53288,,34199,,15306,
00131273,University of California-Berkeley,2023,2022,N,,,1022,1022,0,976,95.5,976,,571,55.9,571,,354,34.6,354,,0,0,0,,51,5,51,,35036,,27149,,10000,
00131373,University of California-Davis,2023,2022,N,,,642,642,0,536,83.5,536,,274,42.7,274,,248,38.6,248,,12,1.9,12,,2,0.3,2,,35000,,25000,,15000,
00131400,University of California-Irvine,2023,2022,N,,,467,467,0,449,96.1,449,,324,69.4,324,,125,26.8,125,,0,0,0,,0,0,0,,35000,,27500,,20000,
00131500,University of California-Los Angeles,2023,2022,N,,,1006,1006,0,899,89.4,899,,629,62.5,629,,201,20,201,,39,3.9,39,,30,3,30,,31667,,20000,,12500,
00132500,University of San Francisco,2023,2022,Y,69,28,353,329,24,240,68,223,17,130,36.8,124,6,106,30,97,9,4,1.1,2,2,0,0,0,0,37000,36400,25000,23000,15000,15000
00132600,Santa Clara University,2023,2022,Y,71,23,665,598,67,513,77.1,464,49,223,33.5,199,24,152,22.9,136,16,36,5.4,32,4,1,0.2,1,0,40000,30000,30000,15000,17726,10000
00132800,University of Southern California,2023,2022,N,,,631,631,0,615,97.5,615,,237,37.6,237,,372,59,372,,0,0,0,,6,1,6,,45000,,40000,,35000,
00132901,McGeorge School of Law,2023,2022,Y,95,29,510,418,92,464,91,376,88,231,45.3,182,49,135,26.5,110,25,98,19.2,84,14,0,0,0,0,51139,29458,28679,12721,3906,3500
00137000,University of Colorado,2023,2022,N,,,506,506,0,425,84,425,,280,55.3,280,,124,24.5,124,,0,0,0,,21,4.2,21,,24720,,12360,,10000,
00137100,University of Denver,2023,2022,Y,174,0,844,685,159,659,78.1,555,104,306,36.3,267,39,331,39.2,268,63,0,0,0,0,22,2.6,20,2,38000,29120,29000,21750,21000,15750
00140201,Quinnipiac University,2023,2022,Y,77,4,384,313,71,346,90.1,290,56,251,65.4,201,50,84,21.9,73,11,6,1.6,6,0,10,2.6,10,0,31394,15001,18895,10000,10000,2500
00141706,University of Connecticut,2023,2022,N,,,484,390,94,434,89.7,361,73,287,59.3,246,41,138,28.5,108,30,0,0,0,0,9,1.9,7,2,22766,16600,15177,10590,10000,5000
00142600,Yale University,2023,2022,N,,,633,633,0,400,63.2,400,,230,36.3,230,,123,19.4,123,,0,0,0,,47,7.4,47,,42113,,32852,,22249,
00143401,American University,2023,2022,N,,,1167,976,191,827,70.9,701,126,172,14.7,154,18,531,45.5,438,93,123,10.5,108,15,1,0.1,1,0,40000,32000,40000,32000,32000,30000
00143711,Catholic University of America,2023,2022,Y,56,19,407,281,126,401,98.5,279,122,171,42,117,54,153,37.6,109,44,74,18.2,51,23,3,0.7,2,1,45820,30000,30000,18750,15076,6625
00144102,District of Columbia,2023,2022,Y,30,9,236,133,103,179,75.8,103,76,97,41.1,58,39,80,33.9,43,37,2,0.8,2,0,0,0,0,0,10142,7572,8292,6182,5000,3471
00144402,George Washington University,2023,2022,N,,,1700,1583,117,1332,78.4,1274,58,1116,65.6,1073,43,175,10.3,167,8,39,2.3,33,6,0,0,0,0,30000,23000,25000,17000,19000,13000
00144503,Georgetown University,2023,2022,N,,,2053,1851,202,1286,62.6,1187,99,546,26.6,468,78,710,34.6,691,19,30,1.5,28,2,0,0,0,0,47500,25000,35000,20000,25000,12519
00144802,Howard University,2023,2022,Y,87,5,464,464,0,220,47.4,220,,145,31.3,145,,66,14.2,66,,0,0,0,,9,1.9,9,,27475,,13090,,7447,
00146601,Barry University,2023,2022,Y,253,142,789,624,165,793,100.5,533,260,561,71.1,344,217,232,29.4,189,43,0,0,0,0,0,0,0,0,23752,13002,16752,2375,3752,752
00146800,St. Thomas University (Florida),2023,2022,Y,104,52,731,731,0,489,66.9,489,,255,34.9,255,,232,31.7,232,,2,0.3,2,,0,0,0,,30000,,22000,,12000,
00148001,Florida A&M University,2023,2022,N,,,362,275,87,170,47,132,38,60,16.6,45,15,89,24.6,71,18,0,0,0,0,21,5.8,16,5,11000,7472,8000,4959,4500,2279
00148900,Florida State University,2023,2022,N,,,502,502,0,387,77.1,387,,215,42.8,215,,114,22.7,114,,13,2.6,13,,45,9,45,,13161,,8241,,4000,
00150900,Nova Southeastern University,2023,2022,Y,153,2,620,523,97,336,54.2,294,42,267,43.1,229,38,68,11,65,3,0,0,0,0,0,0,0,0,20000,7500,15000,5000,10000,2500
00153101,Stetson University,2023,2022,Y,12,0,925,758,167,815,88.1,696,119,431,46.6,335,96,345,37.3,325,20,37,4,34,3,2,0.2,2,0,35000,15000,25000,9500,15000,5000
00153505,University of Florida,2023,2022,N,,,692,692,0,603,87.1,603,,207,29.9,207,,133,19.2,133,,121,17.5,121,,140,20.2,140,,31305,,21804,,8000,
00153601,University of Miami,2023,2022,N,,,1189,1189,0,762,64.1,762,,186,15.6,186,,571,48,571,,0,0,0,,5,0.4,5,,54000,,40000,,30000,
00156400,Emory University,2023,2022,N,,,792,792,0,762,96.2,762,,302,38.1,302,,446,56.3,446,,0,0,0,,14,1.8,14,,44000,,37000,,24000,
00157400,Georgia State University,2023,2022,Y,70,4,0,0,0,297,,257,,96,,82,,41,,31,,156,,140,,4,,4,,19608,,15693,,15693,
