schoolid,schoolname,CalendarYear,Firsttimebaryear,State,Takers,Passers,SchoolPassPct,PassPct,PassPctDiff
00100300,Faulkner University,2023,2022,AL,34,23,0.6765,0.8342,-0.1577
00100300,Faulkner University,2023,2022,FL,119,62,0.521,0.638,-0.117
00103600,Samford University,2023,2022,AL,114,100,0.8772,0.8342,0.043
00105100,University of Alabama,2023,2022,AL,85,79,0.9294,0.8342,0.0952
00108100,Arizona State University,2023,2022,AZ,201,169,0.8408,0.7064,0.1344
00108100,Arizona State University,2023,2022,CA,18,16,0.8889,0.7215,0.1674
00108300,University of Arizona,2023,2022,AZ,91,67,0.7363,0.7064,0.0299
00110800,University of Arkansas-Fayetteville,2023,2022,AR,72,58,0.8056,0.7325,0.0731
00110800,University of Arkansas-Fayetteville,2023,2022,AR,113,84,0.7434,0.7325,0.0109
00116453,Chapman University,2023,2022,CA,131,95,0.7252,0.7215,0.0037
00120529,Golden Gate University,2023,2022,CA,98,41,0.4184,0.7215,-0.3031
00129500,Southwestern Law School,2023,2022,CA,290,174,0.6,0.7215,-0.1215
00130503,Stanford University,2023,2022,CA,85,75,0.8824,0.7215,0.1609
00130503,Stanford University,2023,2022,DC,11,11,1,0.7962,0.2038
00130503,Stanford University,2023,2022,NY,40,40,1,0.8269,0.1731
00131273,University of California-Berkeley,2023,2022,CA,231,213,0.9221,0.7215,0.2006
00131273,University of California-Berkeley,2023,2022,NY,55,54,0.9818,0.8269,0.1549
00131273,University of California-Berkeley,2023,2022,MD,11,10,0.9091,0.7595,0.1496
00131373,University of California-Davis,2023,2022,CA,200,162,0.81,0.7215,0.0885
00131400,University of California-Irvine,2023,2022,CA,126,107,0.8492,0.7215,0.1277
00131500,University of California-Los Angeles,2023,2022,CA,276,253,0.9167,0.7215,0.1952
00131500,University of California-Los Angeles,2023,2022,NY,28,27,0.9643,0.8269,0.1374
00132500,University of San Francisco,2023,2022,CA,115,68,0.5913,0.7215,-0.1302
00132600,Santa Clara University,2023,2022,CA,207,133,0.6425,0.7215,-0.079
00132800,University of Southern California,2023,2022,CA,168,148,0.881,0.7215,0.1595
00132800,University of Southern California,2023,2022,NY,25,24,0.96,0.8269,0.1331
00132901,McGeorge School of Law,2023,2022,CA,109,63,0.578,0.7215,-0.1435
00137000,University of Colorado,2023,2022,CO,149,126,0.8456,0.742,0.1036
00137100,University of Denver,2023,2022,CO,206,161,0.7816,0.742,0.0396
00140201,Quinnipiac University,2023,2022,CT,91,58,0.6374,0.7143,-0.0769
00141706,University of Connecticut,2023,2022,CT,109,93,0.8532,0.7143,0.1389
00141706,University of Connecticut,2023,2022,MA,10,9,0.9,0.8099,0.0901
00141706,University of Connecticut,2023,2022,NY,10,8,0.8,0.8269,-0.0269
00142600,Yale University,2023,2022,CA,29,24,0.8276,0.7215,0.1061
00142600,Yale University,2023,2022,DC,23,23,1,0.7962,0.2038
00142600,Yale University,2023,2022,MD,16,16,1,0.7595,0.2405
00142600,Yale University,2023,2022,ME,11,11,1,0.7143,0.2857
00142600,Yale University,2023,2022,NY,90,88,0.9778,0.8269,0.1509
00143401,American University,2023,2022,CA,15,6,0.4,0.7215,-0.3215
00143401,American University,2023,2022,DC,167,126,0.7545,0.7962,-0.0417
00143401,American University,2023,2022,MD,51,35,0.6863,0.7595,-0.0732
00143401,American University,2023,2022,NY,31,25,0.8065,0.8269,-0.0204
00143401,American University,2023,2022,VA,12,7,0.5833,0.7806,-0.1973
00143711,Catholic University of America,2023,2022,DC,48,39,0.8125,0.7962,0.0163
00143711,Catholic University of America,2023,2022,MD,28,18,0.6429,0.7595,-0.1166
00143711,Catholic University of America,2023,2022,VA,16,10,0.625,0.7806,-0.1556
00144102,District of Columbia,2023,2022,DC,33,13,0.3939,0.7962,-0.4023
00144102,District of Columbia,2023,2022,MD,10,2,0.2,0.7595,-0.5595
00144402,George Washington University,2023,2022,DC,253,221,0.8735,0.7962,0.0773
00144402,George Washington University,2023,2022,NY,125,112,0.896,0.8269,0.0691
00144402,George Washington University,2023,2022,MD,32,26,0.8125,0.7595,0.053
00144402,George Washington University,2023,2022,CA,26,19,0.7308,0.7215,0.0093
00144402,George Washington University,2023,2022,VA,18,15,0.8333,0.7806,0.0527
00144402,George Washington University,2023,2022,FL,13,8,0.6154,0.638,-0.0226
00144402,George Washington University,2023,2022,PA,12,11,0.9167,0.7343,0.1824
00144503,Georgetown University,2023,2022,DC,260,239,0.9192,0.7962,0.123
00144503,Georgetown University,2023,2022,IL,16,14,0.875,0.7501,0.1249
00144503,Georgetown University,2023,2022,MD,23,18,0.7826,0.7595,0.0231
00144503,Georgetown University,2023,2022,MA,14,14,1,0.8099,0.1901
00144503,Georgetown University,2023,2022,NY,210,196,0.9333,0.8269,0.1064
00144503,Georgetown University,2023,2022,VA,15,11,0.7333,0.7806,-0.0473
00144802,Howard University,2023,2022,CA,16,8,0.5,0.7215,-0.2215
00144802,Howard University,2023,2022,DC,58,42,0.7241,0.7962,-0.0721
00144802,Howard University,2023,2022,NY,39,26,0.6667,0.8269,-0.1602
00146601,Barry University,2023,2022,FL,144,68,0.4722,0.638,-0.1658
00146800,St. Thomas University (Florida),2023,2022,FL,171,106,0.6199,0.638,-0.0181
00148900,Florida State University,2023,2022,FL,189,147,0.7778,0.638,0.1398
00150900,Nova Southeastern University,2023,2022,FL,161,88,0.5466,0.638,-0.0914
00153101,Stetson University,2023,2022,FL,233,153,0.6567,0.638,0.0187
00153505,University of Florida,2023,2022,FL,167,129,0.7725,0.638,0.1345
00153601,University of Miami,2023,2022,FL,309,216,0.699,0.6961,0.0029
00153601,University of Miami,2023,2022,NY,20,14,0.7,0.8619,-0.1619
00156400,Emory University,2023,2022,CA,14,10,0.7143,0.7215,-0.0072
00156400,Emory University,2023,2022,FL,12,10,0.8333,0.638,0.1953
00156400,Emory University,2023,2022,GA,91,80,0.8791,0.7838,0.0953
00156400,Emory University,2023,2022,NY,57,50,0.8772,0.8269,0.0503
00156400,Emory University,2023,2022,TX,22,17,0.7727,0.7531,0.0196
00157400,Georgia State University,2023,2022,GA,229,173,0.7555,0.7838,-0.0283
00158015,Mercer University,2023,2022,GA,108,84,0.7778,0.7838,-0.006
00159800,University of Georgia,2023,2022,GA,144,129,0.8958,0.7838,0.112
00161000,University of Hawaii,2023,2022,HI,89,64,0.7191,0.7409,-0.0218
00162600,University of Idaho,2023,2022,ID,118,80,0.678,0.6895,-0.0115
00162600,University of Idaho,2023,2022,WA,15,8,0.5333,0.7997,-0.2664
00167100,Depaul University,2023,2022,IL,160,107,0.6688,0.7501,-0.0813
00169101,Chicago-Kent College of Law-IIT,2023,2022,IL,194,152,0.7835,0.7501,0.0334
00171000,Loyola University-Chicago,2023,2022,IL,209,172,0.823,0.7501,0.0729
00173700,Northern Illinois University,2023,2022,IL,75,45,0.6,0.7501,-0.1501
00173900,Northwestern University,2023,2022,CA,31,28,0.9032,0.7215,0.1817
00173900,Northwestern University,2023,2022,IL,137,128,0.9343,0.7501,0.1842
00173900,Northwestern University,2023,2022,NY,49,47,0.9592,0.8269,0.1323
00173900,Northwestern University,2023,2022,TX,14,12,0.8571,0.7531,0.104
00175800,Southern Illinois University-Carbondale,2023,2022,IL,42,23,0.5476,0.7501,-0.2025
00175800,Southern Illinois University-Carbondale,2023,2022,MO,19,8,0.4211,0.7916,-0.3705
00177400,University of Chicago,2023,2022,CA,24,22,0.9167,0.7215,0.1952
00177400,University of Chicago,2023,2022,IL,79,72,0.9114,0.7501,0.1613
00177400,University of Chicago,2023,2022,NY,53,51,0.9623,0.8269,0.1354
00177400,University of Chicago,2023,2022,TX,17,17,1,0.7531,0.2469
00177500,University of Illinois,2023,2022,IL,102,93,0.9118,0.7501,0.1617
00177608,University of Illinois Chicago School of Law,2023,2022,IL,243,121,0.4979,0.7501,-0.2522
00180900,Indiana University - Bloomington,2023,2022,IL,24,17,0.7083,0.7501,-0.0418
00180900,Indiana University - Bloomington,2023,2022,IN,78,68,0.8718,0.7495,0.1223
00180900,Indiana University - Bloomington,2023,2022,NY,11,8,0.7273,0.8269,-0.0996
00181300,Indiana University - Indianapolis,2023,2022,IN,207,154,0.744,0.7495,-0.0055
00184000,University of Notre Dame,2023,2022,CA,17,13,0.7647,0.7215,0.0432
00184000,University of Notre Dame,2023,2022,IL,46,42,0.913,0.7501,0.1629
00184000,University of Notre Dame,2023,2022,MA,10,9,0.9,0.8099,0.0901
00184000,University of Notre Dame,2023,2022,MI,11,10,0.9091,0.7434,0.1657
00184000,University of Notre Dame,2023,2022,NY,37,35,0.9459,0.8269,0.119
00186000,Drake University,2023,2022,IA,84,76,0.9048,0.8316,0.0732
00189200,University of Iowa,2023,2022,IL,18,16,0.8889,0.7501,0.1388
00189200,University of Iowa,2023,2022,IA,63,49,0.7778,0.8316,-0.0538
00189200,University of Iowa,2023,2022,MN,15,15,1,0.8656,0.1344
00194800,University of Kansas,2023,2022,KS,53,49,0.9245,0.8037,0.1208
00194800,University of Kansas,2023,2022,MO,28,24,0.8571,0.7916,0.0655
00194900,Washburn University,2023,2022,FL,12,9,0.75,0.638,0.112
00194900,Washburn University,2023,2022,KS,60,49,0.8167,0.8037,0.013
00194900,Washburn University,2023,2022,MO,11,7,0.6364,0.7916,-0.1552
00198903,University of Kentucky,2023,2022,KY,58,47,0.8103,0.7033,0.107
00199900,University of Louisville,2023,2022,KY,78,51,0.6538,0.7033,-0.0495
00201000,Louisiana State University,2023,2022,TX,22,21,0.9545,0.7531,0.2014
00201000,Louisiana State University,2023,2022,LA,122,102,0.8361,0.7324,0.1037
00201600,Loyola University-New Orleans,2023,2022,LA,99,80,0.8081,0.7324,0.0757
00201600,Loyola University-New Orleans,2023,2022,TX,12,5,0.4167,0.7531,-0.3364
00202500,Southern University,2023,2022,LA,80,50,0.625,0.7324,-0.1074
00202500,Southern University,2023,2022,TX,19,7,0.3684,0.7531,-0.3847
00202900,Tulane University,2023,2022,CA,11,9,0.8182,0.7215,0.0967
