schoolid,schoolname,CalendarYear,SchoolType,TermType,FTResTuition,PTResTuition,FTNonResTuition,PTNonResTuition,FTResTermTuition,PTResTermTuition,FTNonResTermTuition,PTNonResTermTuition,TuitionGuarInd,OnCampusCosts,OffCampusCosts,AtHomeCosts
00100300,Faulkner University,2023,PRI,SEM,40400,,40400,,20200,,20200,,N,,28750,28750
00103600,Samford University,2023,PRI,SEM,45236,,45236,,22618,,22618,,N,,29314,9175
00105100,University of Alabama,2023,PUB,SEM,24917,,46407,,12459,,23204,,N,21624,21624,21624
00108100,Arizona State University,2023,PUB,SEM,28839,,50317,,14420,,25159,,N,28237,28237,28237
00108300,University of Arizona,2023,PUB,SEM,26200,,30700,,13100,,15350,,N,22250,22250,9950
00110101,University of Arkansas-Little Rock,2023,PUB,SEM,16726,11663,32686,22303,8363,5832,16343,11151,N,17598,20362,9697
00110800,University of Arkansas-Fayetteville,2023,PUB,SEM,17899,,39732,,8950,,19866,,N,20260,20260,20260
00116453,Chapman University,2023,PRI,SEM,61354,49028,61354,49028,30677,24514,30677,24514,N,41490,41490,27630
00120529,Golden Gate University,2023,PRI,SEM,52800,,52800,,26400,,26400,,N,,27750,27750
00129500,Southwestern Law School,2023,PRI,SEM,58537,39042,58537,39042,29269,19521,29269,19521,N,32698,36235,21070
00130503,Stanford University,2023,PRI,QTR,73713,,73713,,24571,,24571,,N,46049,47832,
00131273,University of California-Berkeley,2023,PUB,SEM,62603,,75031,,31302,,37516,,N,43198,43198,43198
00131373,University of California-Davis,2023,PUB,SEM,54919,,67163,,27460,,33582,,N,36576,36576,36576
00131400,University of California-Irvine,2023,PUB,SEM,56025,,68270,,28013,,34135,,N,25405,37133,24291
00131500,University of California-Los Angeles,2023,PUB,SEM,56455,,68700,,28228,,34350,,N,36923,36923,36923
00132500,University of San Francisco,2023,PRI,SEM,54250,,54250,,27125,,27125,,N,32196,32196,
00132600,Santa Clara University,2023,PRI,SEM,59254,45936,59254,45936,29627,22968,29627,22968,N,37150,37150,37150
00132800,University of Southern California,2023,PRI,SEM,78046,,78046,,39023,,39023,,N,27952,29184,19176
00132901,McGeorge School of Law,2023,PRI,SEM,57788,38524,57788,38524,28894,19262,28894,19262,N,26881,30373,20095
00137000,University of Colorado,2023,PUB,SEM,34809,,42279,,17405,,21140,,N,26078,25880,18455
00137100,University of Denver,2023,PRI,SEM,59792,43876,59792,43876,29896,21938,29896,21938,N,27684,27684,27684
00140201,Quinnipiac University,2023,PRI,SEM,54880,,54880,,27440,,27440,,N,,27966,19336
00141706,University of Connecticut,2023,PUB,SEM,31508,,62550,,15754,,31275,,N,23706,23706,11862
00142600,Yale University,2023,PRI,SEM,73865,,73865,,36933,,36933,,N,26144,26144,26144
00143401,American University,2023,PRI,SEM,63088,,63088,,31544,,31544,,N,26256,26256,26256
00143711,Catholic University of America,2023,PRI,SEM,58916,,58916,,29458,,29458,,N,25310,30670,15420
00144102,District of Columbia,2023,PUB,SEM,13438,,25873,,6719,,12937,,N,,29200,
00144402,George Washington University,2023,PRI,SEM,69740,,69740,,34870,,34870,,N,30260,30260,30260
00144503,Georgetown University,2023,PRI,SEM,75950,,75950,,37975,,37975,,N,32250,32250,32250
00144802,Howard University,2023,PRI,SEM,38612,,38612,,19306,,19306,,N,31286,31286,31286
00146601,Barry University,2023,PRI,SEM,43150,32826,43150,32826,21575,16413,21575,16413,N,,28300,28300
00146800,St. Thomas University (Florida),2023,PRI,SEM,46200,,46200,,23100,,23100,,N,31424,38150,18152
00148001,Florida A&M University,2023,PUB,SEM,13855,10207,33115,24332,6928,5104,16558,12166,N,,32800,19692
00148900,Florida State University,2023,PUB,SEM,20683,,40715,,10342,,20358,,N,21976,21976,12912
00150900,Nova Southeastern University,2023,PRI,SEM,47729,36137,47729,36137,23865,18069,23865,18068,N,,38800,15409
00153101,Stetson University,2023,PRI,SEM,51708,34102,51708,34102,25854,17051,25854,17051,N,21678,21678,11620
00153505,University of Florida,2023,PUB,SEM,22194,,38430,,11097,,19215,,N,18220,22960,9700
00153601,University of Miami,2023,PRI,SEM,63506,,63506,,31753,,31753,,N,,39112,21762
00156400,Emory University,2023,PRI,SEM,66414,,66414,,33207,,33207,,N,27448,27448,27448
00157400,Georgia State University,2023,PUB,SEM,17202,15888,36810,33862,8601,7944,18405,16931,N,20696,23179,12430
00158015,Mercer University,2023,PRI,SEM,43132,,43132,,21566,,21566,,N,19364,19364,19364
00159800,University of Georgia,2023,PUB,SEM,18994,,37752,,9497,,18876,,N,17894,23106,11758
00161000,University of Hawaii,2023,PUB,SEM,23164,19432,46588,38952,11582,9716,23294,19476,N,20495,24032,14035
00162600,University of Idaho,2023,PUB,SEM,25932,,45168,,12966,,22584,,N,16206,18318,10842
00167100,Depaul University,2023,PRI,SEM,52145,34054,52145,34054,26073,17027,26073,17027,N,26680,26680,26680
00169101,Chicago-Kent College of Law-IIT,2023,PRI,SEM,53270,39150,53270,39150,26635,19575,26635,19575,Y,24146,27634,27634
00171000,Loyola University-Chicago,2023,PRI,SEM,55258,41090,55258,41090,27629,20545,27629,20545,N,31902,31902,31902
00173700,Northern Illinois University,2023,PUB,SEM,23553,,23553,,11777,,11777,,N,20424,20424,20424
00173900,Northwestern University,2023,PRI,SEM,74552,,74552,,37276,,37276,,N,27528,27528,27528
